sirket_adi,kap_id,api_url
"Turk Ilac Ve Serum Sanayı Anonım Sırketı","8acae2c575a1b5b601773ec6c0030b66","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c575a1b5b601773ec6c0030b66/ODA/365"
"Teknosa İç Ve Dış Ticaret A.Ş.","4028e4a240f2ef470140f31ac6aa006f","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240f2ef470140f31ac6aa006f/ODA/365"
"Orfin Finansman A.Ş.","4028e4a140f2ed7201411780a3bd062e","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed7201411780a3bd062e/ODA/365"
"Dünya Varlık Yönetim A.Ş.","8acae2c569cee403016b991858035a54","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c569cee403016b991858035a54/ODA/365"
"Lider Faktoring A.Ş.","4028e4a141da49ea0141dfe0d2732d48","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a141da49ea0141dfe0d2732d48/ODA/365"
"Birikim Varlık Yönetim A.Ş.","8acae2c562329bd10162b9ff7a6b53d6","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c562329bd10162b9ff7a6b53d6/ODA/365"
"Çağdaş Faktoring A.Ş.","4028e4a1486ec80a0148b0f695d4648d","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1486ec80a0148b0f695d4648d/ODA/365"
"Kent Finans Faktoring A.Ş.","4028e4a14184e9c901419d1119ca6579","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a14184e9c901419d1119ca6579/ODA/365"
"Ak Faktoring A.Ş.","4028e4a240e8d16e0140e8f24bd3003b","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240e8d16e0140e8f24bd3003b/ODA/365"
"Deniz Eko Enerji Ve Geri Dönüşüm A.Ş.","8acae2c4998f24d8019abf7bb7eb4396","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c4998f24d8019abf7bb7eb4396/ODA/365"
"İstanbul Faktoring A.Ş.","4028e4a244a081810145d6e6f59b75cf","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a244a081810145d6e6f59b75cf/ODA/365"
"İstanbul Varlık Yönetim A.Ş.","4028e4a142140a8c014222e455c72489","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a142140a8c014222e455c72489/ODA/365"
"Bilkom Bilişim Hizmetleri A.Ş.","4028e4a14a5df521014b02a116c7424a","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a14a5df521014b02a116c7424a/ODA/365"
"Ag Anadolu Grubu Holding A.Ş.","4028e4a240f2ef4c014101b18dc000f7","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240f2ef4c014101b18dc000f7/ODA/365"
"Turknet İletişim Hizmetleri A.Ş.","8acae2c469cee2a4016a77942be766cf","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c469cee2a4016a77942be766cf/ODA/365"
"Oktaş Okkaoğlu Taahhüt İnşaat Tekstil Sanayi Ve Ticaret A.Ş.","8acae2c5998f25d7019ab4ae05e35687","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c5998f25d7019ab4ae05e35687/ODA/365"
"Credıtwest Faktoring A.Ş.","4028e4a141558bdd0141561c84700589","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a141558bdd0141561c84700589/ODA/365"
"Kontrolmatik Teknoloji Enerji Ve Mühendislik A.Ş.","8acae2c5745d76320174c4879b101cb2","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c5745d76320174c4879b101cb2/ODA/365"
"Ulusal Faktoring A.Ş.","4028e4a1416e696301416f321c3d5ca7","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1416e696301416f321c3d5ca7/ODA/365"
"Yeo Teknoloji Enerji Ve Endüstri A.Ş.","4028e4a140f2ed7101413af3da8c0440","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed7101413af3da8c0440/ODA/365"
"Bıen Yapı Ürünleri San. Tur. Ve Tic. A.Ş.","4028e4a24a5df6e7014ba1e60b464173","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a24a5df6e7014ba1e60b464173/ODA/365"
"Otokar Otomotiv Ve Savunma Sanayi  A.Ş.","4028e4a140ee35c70140ee4316b3001d","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140ee35c70140ee4316b3001d/ODA/365"
"Inveo Yatırım Holding A.Ş.","4028e4a140f2ed7201413b67b22f0929","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed7201413b67b22f0929/ODA/365"
"Teb Faktoring A.Ş.","4028e4a241462fd801414f9ef4b3377b","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a241462fd801414f9ef4b3377b/ODA/365"
"Kayatur Filo Kiralama A.Ş.","8acae2c4991b8c3201992881244b00c6","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c4991b8c3201992881244b00c6/ODA/365"
"Para Finans Faktoring A.Ş.","",""
"Gezinomi Seyahat Turizm Ticaret A.Ş.","8acae2c47d3bee50017e3445b465578f","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c47d3bee50017e3445b465578f/ODA/365"
"İş Gayrimenkul Yatırım Ortaklığı A.Ş.","4028e4a140f2ed7201412acbeb8b06f7","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed7201412acbeb8b06f7/ODA/365"
"Tera Yatırım Menkul Değerler A.Ş.","4028e4a141733b56014178115f7e51e7","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a141733b56014178115f7e51e7/ODA/365"
"Doğru Varlık Yönetimi A.Ş.","8acae2c469cee2a4016a2aff6ed42fb3","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c469cee2a4016a2aff6ed42fb3/ODA/365"
"Coca Cola İçecek A.Ş.","4028e4a140ee35c00140ee586bdd0034","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140ee35c00140ee586bdd0034/ODA/365"
"Mng Faktoring A.Ş.","4028e4a141462df201414b08fe4e1287","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a141462df201414b08fe4e1287/ODA/365"
"Burgan Finansal Kiralama A.Ş.","4028e4a241462fd8014155181e226ec8","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a241462fd8014155181e226ec8/ODA/365"
"Sümer Faktoring A.Ş.","4028e4a144a0804f01459354f547295d","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a144a0804f01459354f547295d/ODA/365"
"Osmanlı Yatırım Menkul Değerler A.Ş.","4028e4a240ee37a30140ee408ef80002","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240ee37a30140ee408ef80002/ODA/365"
"Tat Gıda Sanayi A.Ş.","4028e4a140f2ed720140f31089aa010a","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed720140f31089aa010a/ODA/365"
"Borlease Otomotiv A.Ş.","8acae2c486d22a3a018b03b5cfbe29b8","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c486d22a3a018b03b5cfbe29b8/ODA/365"
"Eker Süt Ürünleri Gıda San. Ve Tic. A.Ş.","1af4bb0512df41c599b6ff93a4468ac5","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/1af4bb0512df41c599b6ff93a4468ac5/ODA/365"
"Çelik Motor Ticaret A.Ş.","4028e4a1415f4d9b01416002f6573cff","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1415f4d9b01416002f6573cff/ODA/365"
"Alj Finansman A.Ş.","4028e4a2422d9a6e01427b2bed8d5347","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a2422d9a6e01427b2bed8d5347/ODA/365"
"Volkswagen Doğuş Finansman A.Ş.","4028e4a24371e0a20143914bc74c6e5b","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a24371e0a20143914bc74c6e5b/ODA/365"
"Enerjisa Enerji A.Ş.","4028e4a1422d98690142bceaa31957cf","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1422d98690142bceaa31957cf/ODA/365"
"Brisa Bridgestone Sabancı Lastik Sanayi Ve Ticaret A.Ş.","4028e4a140e95bea0140ee33bff201cd","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140e95bea0140ee33bff201cd/ODA/365"
"Ak Finansal Kiralama A.Ş.","4028e4a240e8d16e0140e8f31069003f","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240e8d16e0140e8f31069003f/ODA/365"
"Huzur Faktoring A.Ş.","4028e4a241558bd9014155ce6dec03e8","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a241558bd9014155ce6dec03e8/ODA/365"
"Tukaş Gıda Sanayi Ve Ticaret A.Ş.","4028e4a240f2ef470140f373b77f00ac","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240f2ef470140f373b77f00ac/ODA/365"
"Kaleseramik Çanakkale Kalebodur Seramik Sanayi A.Ş.","4028e4a140f275550140f285f6cf0246","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f275550140f285f6cf0246/ODA/365"
"Mlp Sağlık Hizmetleri A.Ş. (Medikalpark Sağlık Hizmetleri A.Ş.)","4028e4a1462cc5dd01465c9550782baa","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1462cc5dd01465c9550782baa/ODA/365"
"Ldr Turizm A.Ş.","8acae2c5570aaa2b0157be3a3ef749af","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c5570aaa2b0157be3a3ef749af/ODA/365"
"Q Yatırım Holding A.Ş.","8acae2c582b7eb070182f3043ec810b9","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c582b7eb070182f3043ec810b9/ODA/365"
"Vdf Filo Kiralama A.Ş.","8acae2c56faf888c0171e54394012909","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c56faf888c0171e54394012909/ODA/365"
"Eko Faktoring A.Ş.","4028e4a1420a2d8001420d4c56f30c2e","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1420a2d8001420d4c56f30c2e/ODA/365"
